vetted,party,vaadot,name,alias,gender,status,office_phone,office_phone_tel,facebook,fbmention,twitter,meme,email,web,text,link,text2,link2
t,shas,,משולם נהרי ,mnahari,m,no,02-675-8448,26758448,,,,,mnahari@knesset.gov.il,,,,,
t,kulanu,,משה כחלון,cahlon,m,no,,,https://www.facebook.com/Moshekahalon,@Moshekahalon,kahlonmoshe,pic.twitter.com/0w0mYXMc0d,dover.koolanu@gmail.com,,,,,
t,likud,,משה יעלון,myaalon,m,,02-675-8893,26758893,https://www.facebook.com/pages/%D7%9E%D7%A9%D7%94-%D7%91%D7%95%D7%92%D7%99-%D7%99%D7%A2%D7%9C%D7%95%D7%9F-Moshe-Bogie-Yaalon/173196886046831,@משה-בוגי-יעלון-Moshe-Bogie-Yaalon,,,myaalon@knesset.gov.il,,,,,
t,yahadut-hatora,,משה גפני,mgafni,m,yes,02-675-8340,26758340,,,,,mgafni@knesset.gov.il,,,,,
t,reshima-aravit,,מסעוד גנאים,mganaim,m,yes,02-675-8158,26758158,,,,,mganaeim@knesset.gov.il,,,,,
t,yahadut-hatora,,מנחם אליעזר מוזס,mmozes,m,no,02-675-8006,26758006,,,,,mmozes@knesset.gov.il,,,,,
t,hamahane-hazioni,,מנואל טרכטנברג,manueltraj,m,yes,,,https://www.facebook.com/Trajtenberg,@Trajtenberg,manueltraj,,manuelt@knesset.gov.il,http://manuel.co.il/,,,,
n,likud,"_vaadat_pnim,_vaada_meshutefet",מכלוף מיקי זוהר,mikizohar,m,,,,,,,,mahlufz@knesset.gov.il,,,,,
t,likud,,מירי רגב,mregev,f,yes,02-675-8178,26758178,https://www.facebook.com/miri.regev.il,@miri.regev.il,regev_miri,,mregev@knesset.gov.il,http://www.miri-regev.co.il/,חתומה על הצעת חוק לביטול המאגר,http://www.mako.co.il/nexter-archive/Article-5a73491c10e6631006.htm,,
t,hamahane-hazioni,,מירב מיכאלי,michaelim,f,yes,,,https://www.facebook.com/MichaeliMerav,@MichaeliMerav,,,michaelim@knesset.gov.il,,,,,
t,kulanu,,מירב בן ארי,meravbenari,f,no,,,https://www.facebook.com/pages/%D7%9E%D7%99%D7%A8%D7%91-%D7%91%D7%9F-%D7%90%D7%A8%D7%99-Merav-Ben-Ari/1000293466651925,@מירב-בן-ארי-Merav-Ben-Ari,,,bmerav@knesset.gov.il,,,,,
t,hamahane-hazioni,,מיקי רוזנטל,mikiros,m,yes,,,https://www.facebook.com/miki.rosenthal,@miki.rosenthal,mikiros1,,mrosenthal@knesset.gov.il,,,,,
t,yeshatid,,מיקי לוי,levimiki,m,no,,,https://www.facebook.com/LevyYeshAtid,@LevyYeshAtid,,,levimiki@KNESSET.GOV.IL,,,,,
t,meretz,"_vaadat_huka,_vaada_meshutefet",מיכל רוזין,mrozin,f,yes,,,https://www.facebook.com/michal.rozin,@michal.rozin,,,mrozin@knesset.gov.il,http://michalrozin.co.il/,,,,
t,hamahane-hazioni,,מיכל בירן,mbiran,f,yes,,,https://www.facebook.com/MichalBiran,@MichalBiran,,,mbiran@knesset.gov.il,,,,,
t,kulanu,"_vaadat_huka,_vaada_meshutefet",מייקל אורן,michaeloren,m,no,,,https://www.facebook.com/AmbassadorOren,@AmbassadorOren,drmichaeloren,,info.michaeloren@gmail.com,,,,,
t,habait-hayehudi,,מוטי יוגב,myogev,m,,02-675-8054,26758054,https://www.facebook.com/mottiyogev,@mottiyogev,,,myogev@knesset.gov.il,,,,,
t,yahadut-hatora,,מאיר פרוש,mporush,m,no,,,https://www.facebook.com/pages/Meir-Porush-%D7%9E%D7%90%D7%99%D7%A8-%D7%A4%D7%A8%D7%95%D7%A9/459630770783649,@Meir-Porush-מאיר-פרוש,,,mporush@knesset.gov.il,,,,,
t,yeshatid,"_vaadat_huka,_vaada_meshutefet",מאיר כהן,cohenmeir,m,no,,,https://www.facebook.com/meircoh,@meircoh,,,cohenmeir@KNESSET.GOV.IL,,,,,
t,likud,,ישראל כץ,yiskatz,m,no,02-675-8172,26758172,https://www.facebook.com/katzisraellikud,@katzisraellikud,,,yiskatz@knesset.gov.il,,,,,
t,yahadut-hatora,,ישראל אייכלר,ieichler,m,yes,02-675-8475,26758475,https://www.facebook.com/pages/Israel-Eichler-%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%90%D7%99%D7%99%D7%9B%D7%9C%D7%A8/140476896137364,@Israel-Eichler-ישראל-אייכלר,yisraeleichler,,ieichler@knesset.gov.il,,,,,
t,likud,,יריב לוין,ylevin,m,no,02-675-8394,26758394,https://www.facebook.com/yariv.levin.9,@yariv.levin.9,,,ylevin@knesset.gov.il,http://www.yarivlevin.org.il/,,,,
n,likud,,ירון מזוז,yaronmazuz,m,,,,,,,,ymazuz@knesset.gov.il,,,,,
t,shas,,יצחק כהן,izchakec,m,,02-675-8397,26758397,,,,,izchakec@knesset.gov.il,,,,,
t,shas,,יצחק וקנין,yvaknin,m,no,02-675-8104,26758104,,,,,yvaknin@knesset.gov.il,,,,,
t,hamahane-hazioni,,יצחק הרצוג,iherzog,m,yes,02-675-3647,26753647,https://www.facebook.com/IsaacHerzog,@IsaacHerzog,,,iherzog@knesset.gov.il,,,,,
t,kulanu,"_vaadat_mada,_vaada_meshutefet",יפעת שאשא-ביטון,sbyifat,f,no,,,https://www.facebook.com/sbyifat,@sbyifat,,,yifatsh@knesset.gov.il,,,,,
t,yeshatid,,יעקב פרי,ypery,m,no,,,https://www.facebook.com/Yaakov.Perry,@Yaakov.Perry,jacobpe1,,ypery@KNESSET.GOV.IL,,,,,
t,shas,,יעקב מרגי,ymargi,m,no,02-675-8473,26758473,,,,,ymargi@knesset.gov.il,,,,,
t,yahadut-hatora,,יעקב ליצמן,ylitzman,m,,,,https://www.facebook.com/pages/Yaakov-Litzman-%D7%99%D7%A2%D7%A7%D7%91-%D7%9C%D7%99%D7%A6%D7%9E%D7%9F/590356577655288,@Yaakov-Litzman-יעקב-ליצמן,,,ylitzman@knesset.gov.il,,,,,
t,yeshatid,"_vaadat_huka,_vaadat_pnim,_vaada_meshutefet",יעל גרמן,ygerman,f,no,,,https://www.facebook.com/GermanYeshAtid,@GermanYeshAtid,,,ygerman@KNESSET.GOV.IL,,,,,
t,habait-hayehudi,,ינון מגל,yinonmagal,m,,,,https://www.facebook.com/people/Yinon-Magal/100000162448100,@Yinon-Magal,yinonmagal,,ymagal@knesset.gov.il,,,,,
t,hamahane-hazioni,,יחיאל בר,ybar,m,yes,,,https://www.facebook.com/pages/Hilik-Bar-%D7%97%D7%99%D7%9C%D7%99%D7%A7-%D7%91%D7%A8/620206311338749,@Hilik-Bar-חיליק-בר,,,ybar@knesset.gov.il,,,,,
t,hamahane-hazioni,,יוסי יונה,yossiyonah,m,yes,,,https://www.facebook.com/YossiYonah,@YossiYonah,,,keshet.oged@gmail.com,,,,,
t,reshima-aravit,,יוסוף ג'בארין,ytjabareen,m,yes,,,,,,,ytjabareen@gmail.com,,,,,
t,likud,,יולי אדלשטיין,yedelstein,m,no,02-640-8392,26408392,https://www.facebook.com/YuliEdelstein,@YuliEdelstein,,,yedelstein@knesset.gov.il,,,,,
t,likud,,יובל שטייניץ,ysteinitz,m,,02-675-8046,26758046,https://www.facebook.com/steinitzyuval50,@steinitzyuval50,,,ysteinitz@knesset.gov.il,http://www.steinitzonline.com/#!blog/crkt,,,,
t,yeshatid,,יואל רזבוזוב,yrazbuzov,m,no,,,https://www.facebook.com/yoel.razvozov,@yoel.razvozov,,,yrazbuzov@knesset.gov.il,,,,,
t,hamahane-hazioni,,יואל חסון,yoelhasson,m,yes,,,https://www.facebook.com/MKHasson,@MKHasson,hassonyoel,,yoelhasson1@gmail.com,,,,,
t,likud,"_vaadat_mada,_vaada_meshutefet",יואב קיש,yoavkisch,m,,,,https://www.facebook.com/kisch.yoav,@kisch.yoav,yoavkisch,,yoavk@knesset.gov.il,http://www.kisch.co.il/about,,,,
t,kulanu,,יואב גלנט,galant,m,no,,,https://www.facebook.com/pages/Yoav-Galant-%D7%99%D7%95%D7%90%D7%91-%D7%92%D7%9C%D7%A0%D7%98/150496561638147,@Yoav-Galant-יואב-גלנט,,,yoavg@knesset.gov,,,,,
t,shas,"_vaadat_huka,_vaadat_pnim,_vaada_meshutefet",יואב בן צור,ybentzur,m,,,,https://www.facebook.com/pages/%D7%99%D7%95%D7%90%D7%91-%D7%91%D7%9F-%D7%A6%D7%95%D7%A8/374943822684927,@יואב-בן-צור,,,ybentzur@knesset.gov.il,,,,,
t,yeshatid,,יאיר לפיד,ylapid,m,no,02-675-8386,26758386,https://www.facebook.com/YairLapid,@YairLapid,lapidatid,pic.twitter.com/SNa1HEwrEI,ylapid@KNESSET.GOV.IL,,,,,
t,kulanu,,טלי פלוסקוב,talifloskov,f,no,,,,,,,talip@knesset.gov.il,,,,,
t,reshima-aravit,,חנין זועבי,hzoaby,f,yes,02-675-8029,26758029,https://www.facebook.com/pages/%D7%97%D7%A0%D7%99%D7%9F-%D7%96%D7%95%D7%A2%D7%91%D7%99-%D8%AD%D9%86%D9%8A%D9%86-%D8%B2%D8%B9%D8%A8%D9%8A-Haneen-Zoabi/1511471559083988,@חנין-זועבי-حنين-زعبي-Haneen-Zoabi,haneenzoabii,,hzoaby@knesset.gov.il,,,,,
n,yisrael-beitenu,"_vaadat_mada,_vaada_meshutefet",חמד עמאר,hamadam,m,no,,,,,,,amarh@knesset.gov.il,,,,,
t,likud,,חיים כץ,hkatz,m,,02-675-8142,26758142,https://www.facebook.com/haim.katz.79,@haim.katz.79,,,hkatz@knesset.gov.il,,,,,
t,yeshatid,"_vaadat_mada,_vaada_meshutefet",חיים ילין,yelin,m,no,,,https://www.facebook.com/pages/%D7%97%D7%99%D7%99%D7%9D-%D7%99%D7%9C%D7%99%D7%9F-Haim-Jelin/350522538451081,@חיים-ילין-Haim-Jelin,,,mayor@erc.org.il,,,,,
t,hamahane-hazioni,"_vaadat_pnim,_vaada_meshutefet",זוהיר בהלול,zohirbhlol,m,yes,,,https://www.facebook.com/zohirbhlol,@zohirbhlol,,,Zouheirb@knesset.gov.il,,,,,
t,meretz,,זהבה גלאון,zgalon,f,yes,02-675-8349,26758349,https://www.facebook.com/zehavagalon,@zehavagalon,zehavagalon,,zgalon@knesset.gov.il,,,,,
t,likud,,זאב אלקין,zelkin,m,no,02-675-8145,26758145,https://www.facebook.com/Elkin.Zeev,@Elkin.Zeev,,,Zelkin@knesset.gov.il,,,,,
t,likud,,ז'קי לוי,jakilevi,m,,,,https://www.facebook.com/jakilevi2013,@jakilevi2013,jakilevi,,zakil@knesset.gov.il,,,,,
t,hamahane-hazioni,"_vaadat_pnim,_vaada_meshutefet",דניאל עטר,danyatar,m,yes,,,https://www.facebook.com/danielatar.il,@danielatar.il,danyatar,,Dany@hagilboa.org.il,https://dannyatar.wordpress.com/,,,,
t,likud,,דני דנון,ddanon,m,, 02-640-8658,26408658,https://www.facebook.com/DanonDanny,@DanonDanny,dannydanon,,ddanon@knesset.gov.il,,,,,
t,likud,,דוד ביטן,davidbittan,m,,,,https://www.facebook.com/pages/%D7%93%D7%95%D7%93-%D7%91%D7%99%D7%98%D7%9F-%D7%A1%D7%92%D7%9F-%D7%A8%D7%90%D7%A9-%D7%A2%D7%99%D7%A8%D7%99%D7%99%D7%AA-%D7%A8%D7%90%D7%A9%D7%95%D7%9F-%D7%9C%D7%A6%D7%99%D7%95%D7%9F/348254355276420,@דוד-ביטן-סגן-ראש-עיריית-ראשון-לציון,,,dbitan@KNESSET.GOV.IL,,,,,
n,likud,,דוד אמסלם,davidamsalem,m,,,,,,,,davidam@knesset.gov.il,,,,,
t,shas,,דוד אזולאי ,dazulay,m,no,02-675-8184,26758184,https://www.facebook.com/pages/%D7%93%D7%95%D7%93-%D7%90%D7%96%D7%95%D7%9C%D7%90%D7%99-David-Azoulay/688854954471676,@דוד-אזולאי-David-Azoulay,,,dazulay@knesset.gov.il,,,,,
t,reshima-aravit,"_vaadat_mada,_vaada_meshutefet",דב חנין,dhanin,m,yes,02-675-8126,26758126,https://www.facebook.com/dovhanin,@dovhanin,dovhanin,,dhanin@knesset.gov.il,http://www.dovblog.org/,חתום על הצעת חוק לביטול המאגר,http://www.mako.co.il/nexter-archive/Article-5a73491c10e6631006.htm,,
t,likud,,גלעד ארדן,gerdan,m,no,02-675-8189,26758189,https://www.facebook.com/gilad.erdan,@gilad.erdan,,,gerdan@knesset.gov.il,,,,,
t,likud,,גילה גמליאל,ggamliel,f,,02-675-8463,26758463,https://www.facebook.com/MK.Gila.Gamliel,@MK.Gila.Gamliel,gilagamliel,,ggamliel@knesset.gov.il,,,,,
t,reshima-aravit,,ג'מאל זחלקה,jzhalka,m,yes,02-675-8186,26758186,,,,,jzhalka@knesset.gov.il,,,,,
t,habait-hayehudi,"_vaadat_pnim,_vaada_meshutefet",בצלאל סמוטריץ',smotrich,m,no,,,https://www.facebook.com/bsmotrich,@bsmotrich,,,smotrich@gmail.com,,,,,
t,likud,,בנימין נתניהו,bnetanyahu,m,,02-6408457,26408457,https://www.facebook.com/Netanyahu,@Netanyahu,netanyahu,pic.twitter.com/NJnLqKqdAA,bnetanyahu@knesset.gov.il,http://www.netanyahu.org.il/,,,,
t,likud,"_vaadat_huka,_vaadat_pnim,_vaada_meshutefet",בני בגין,benibegin,m,no,,,https://www.facebook.com/pages/%D7%91%D7%A0%D7%99-%D7%91%D7%92%D7%99%D7%9F/1556045774612992,@בני-בגין,,,begin_bz@bezeqint.net,,,,,
t,reshima-aravit,,באסל גטאס,gbasel,m,yes,,,https://www.facebook.com/basel.ghattas,@basel.ghattas,,,gbasel@knesset.gov.il,,,,,
t,shas,,אריה דרעי,deryarye,m,,,,https://www.facebook.com/DeryArye,@DeryArye,,,aderey@KNESSET.GOV.IL,,,,,
t,hamahane-hazioni,,אראל מרגלית,emargalit,m,yes,,,https://www.facebook.com/erelmargalit,@erelmargalit,erelmargalit,,emargalit@knesset.gov.il,,"אני לא חושב שישראל ערוכה למאגר הביומטרי, מכיוון שאני מכיר לפחות שלוש חברות שמסוגלות לפרוץ למאגר הזה ולסכן את הפרטיות של אזרחי ישראל.",https://www.facebook.com/tal.schneider/posts/10153543530924251,,
t,kulanu,,אלי כהן,elicohen,m,no,,,https://www.facebook.com/cpa.eli.cohen,@cpa.eli.cohen,,,elic@knesset.gov.il,,,,,
t,habait-hayehudi,,אלי בן דהן,bendahan,m,,02-640-8835,26408835,https://www.facebook.com/EllibenDahan,@EllibenDahan,,,ben.dahan0@gmail.com,,,,,
t,kulanu,,אלי אלאלוף,elalouf,m,no,,,https://www.facebook.com/EliElalouf,@EliElalouf,,,elalouf@knesset.gov.il,,,,,
t,hamahane-hazioni,,איתן כבל,ecabel,m,yes,02-675-8838,26758838,https://www.facebook.com/eitan.cabel,@eitan.cabel,cabel_eitan,,ecabel@knesset.gov.il,,הגיש הצעת חוק לביטול המאגר,http://www.nrg.co.il/online/1/ART2/324/377.html,עוד בנושא הצעת החוק,http://www.mako.co.il/nexter-archive/Article-5a73491c10e6631006.htm
t,hamahane-hazioni,,איתן ברושי,eitanbroshu,m,yes,,,https://www.facebook.com/pages/%D7%90%D7%99%D7%AA%D7%9F-%D7%91%D7%A8%D7%95%D7%A9%D7%99/389464081230676,@איתן-ברושי,,,Eitanbroshi@gmail.com,http://www.kibbutz.org.il/cgi-webaxy/item?tnua_mazkal-welcom,,,,
t,hamahane-hazioni,,איציק שמולי,ishmuli,m,yes,,,https://www.facebook.com/itzik.shmuli,@itzik.shmuli,ishmuli,,ishmuli@knesset.gov.il,,,,,
t,meretz,,אילן גילאון,igilon,m,yes,02-675-8403,26758403,https://www.facebook.com/MKIlanGilon,@MKIlanGilon,,,igilon@knesset.gov.il,,,,,
t,hamahane-hazioni,,איל בן ראובן,eyalbenreuven,m,yes,,,https://www.facebook.com/pages/%D7%90%D7%99%D7%9C-%D7%91%D7%9F-%D7%A8%D7%90%D7%95%D7%91%D7%9F/344177249102141,@איל-בן-ראובן,,,beyal@knesset.gov.il,,,,,
t,reshima-aravit,,איימן עודה,aymanjabha,m,yes,,,https://www.facebook.com/AymanOdeh1975,@AymanOdeh1975,ayman_odeh_75,pic.twitter.com/aNUxTaBTAQ,aymanjabha@gmail.com,,,,,
t,habait-hayehudi,,איילת שקד,ashaked,f,no,02-6408401,26408401,https://www.facebook.com/ayelet.benshaul.shaked,@ayelet.benshaul.shaked,ayelet__shaked,,ashaked@knesset.gov.il,,,,,
t,hamahane-hazioni,,איילת נחמיאס ורבין,ayeletnn,f,yes,,,https://www.facebook.com/ayelet.nahmiasverbin,@ayelet.nahmiasverbin,ayeletnnv,,ayeletnn@yahoo.com,,,,,
n,likud,,איוב קרא,iobkara,m,,,,,,,,kayoob@KNESSET.GOV.IL,,,,,
t,reshima-aravit,,אחמד טיבי,atibi,m,yes,02-675-8337,26758337,https://www.facebook.com/Tibi.Fans,@Tibi.Fans,Ahmad_tibi,,atibi@knesset.gov.il,,,,,
n,likud,,אורן חזן,orenhazan,m,,,,,,oren_haz,,ohazan@knesset.gov.il,,,,,
t,yisrael-beitenu,,אורלי לוי אבקסיס,levyabkasis,f,no,02-675-8894,26758894,https://www.facebook.com/orly.levyabkasis,@orly.levyabkasis,,,olevy@knesset.gov.il,,,,,
t,yahadut-hatora,"_vaadat_huka,_vaadat_pnim,_vaada_meshutefet",אורי מקלב,umaklev,m,yes,02-675-8135,26758135,,,,,umaklev@knesset.gov.il,,,,,
t,habait-hayehudi,,אורי אריאל,uria,m,yes,02-675-3882,26753882,https://www.facebook.com/uriariel.co.il,@uriariel.co.il,saruriariel,,uria@knesset.gov.il,,,,,
t,likud,,אופיר אקוניס,oakunis,m,,,,https://www.facebook.com/OfirAkunis,@OfirAkunis,,,oakunis@knesset.gov.il,http://www.ofirakunis.co.il/,,,,
n,likud,,אברהם נגוסה,avrahamnagosa,m,,,,,,,,anagosa@knesset.gov.il,,,,,
t,yisrael-beitenu,,אביגדור ליברמן,aliberman,m,no,,,https://www.facebook.com/AvigdorLiberman,@AvigdorLiberman,avigdorliberman,pic.twitter.com/RdzrsF9AYx,aliberman@knesset.gov.il,,,,,
n,likud,,אבי דיכטר,avidichter,m,,"
",,,,,,davraham@knesset.gov.il,,,,,
t,reshima-aravit,"_vaadat_pnim,_vaada_meshutefet",אבו עראר טלב,tabuarar,m,yes,02-640-8874,26408874,https://www.facebook.com/TlbAbwrar,@TlbAbwrar,,,tabuarar@knesset.gov.il,,,,,
t,reshima-aravit,"_vaadat_pnim,_vaada_meshutefet",אבו מערוף עבדאללה,maaruf,m,yes,,,,,,,,,,,,
